epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3192.37,0.88179,1.22046,1.9242,0.91888,0.42764,0.63326,0.5065,0.40408,0.4127,0.59233,0.47351,0.34058,0.61651,0.54168,1.4927,0.81594,0.000332976,0.000332976,0.000332976
2,5944.24,0.74296,0.93116,1.40049,0.88081,0.6012,0.66525,0.64639,0.51645,0.58347,0.61536,0.59265,0.38542,0.62938,0.57783,1.11119,0.81473,0.000633327,0.000633327,0.000633327
3,8980,0.70712,0.87063,1.24784,0.87211,0.65583,0.70891,0.72427,0.57161,0.63215,0.64298,0.66393,0.44075,0.61829,0.54822,0.97689,0.80828,0.000900678,0.000900678,0.000900678
4,11472.3,0.68258,0.84915,1.15945,0.87053,0.71804,0.73658,0.77655,0.60348,0.67045,0.65336,0.68442,0.41064,0.66414,0.63196,0.86526,0.81359,0.0008515,0.0008515,0.0008515
5,13972,0.65796,0.823,1.08315,0.86619,0.65281,0.74082,0.75638,0.60529,0.61422,0.6844,0.6896,0.44093,0.61426,0.5334,0.93092,0.81845,0.000802,0.000802,0.000802
6,16420.6,0.63988,0.79688,1.0437,0.86358,0.74717,0.7619,0.79556,0.64833,0.7104,0.68293,0.71907,0.4663,0.5767,0.54598,0.8097,0.8103,0.0007525,0.0007525,0.0007525
7,18844.2,0.62344,0.78233,1.00218,0.85851,0.81693,0.77161,0.83556,0.69786,0.77282,0.69276,0.7482,0.49943,0.49201,0.47416,0.66355,0.78539,0.000703,0.000703,0.000703
8,21287.3,0.60873,0.76876,0.95352,0.85581,0.80581,0.78911,0.84359,0.68806,0.75427,0.69933,0.74828,0.46848,0.50993,0.53619,0.67616,0.79175,0.0006535,0.0006535,0.0006535
9,23713.4,0.59501,0.75575,0.93475,0.85348,0.81369,0.79037,0.84769,0.68516,0.76801,0.69494,0.75132,0.46649,0.53738,0.56825,0.64685,0.78611,0.000604,0.000604,0.000604
10,26139.5,0.58806,0.75192,0.91178,0.85228,0.83319,0.79817,0.85399,0.72881,0.79359,0.71272,0.77044,0.51847,0.43656,0.4748,0.60372,0.78019,0.0005545,0.0005545,0.0005545
11,28376.4,0.53529,0.74121,0.77142,0.81837,0.84082,0.81119,0.86663,0.73384,0.79531,0.71404,0.77316,0.52147,0.46601,0.49433,0.59049,0.77461,0.000505,0.000505,0.000505
12,30640.3,0.52187,0.72874,0.70691,0.81669,0.85109,0.81079,0.87128,0.74877,0.80285,0.7123,0.77767,0.50893,0.42143,0.48125,0.55399,0.76023,0.0004555,0.0004555,0.0004555
13,32894.2,0.50785,0.71764,0.6851,0.81471,0.84629,0.81885,0.87229,0.75608,0.78011,0.72461,0.77501,0.51598,0.41751,0.49756,0.55701,0.76092,0.000406,0.000406,0.000406
14,35186.1,0.50186,0.71268,0.6543,0.81215,0.85374,0.82217,0.88055,0.75445,0.78652,0.71317,0.7686,0.49955,0.41656,0.5098,0.5381,0.75084,0.0003565,0.0003565,0.0003565
15,37480.5,0.4899,0.70515,0.62297,0.81128,0.88151,0.82645,0.88849,0.7604,0.82998,0.72585,0.79247,0.53774,0.44056,0.48895,0.50492,0.75096,0.000307,0.000307,0.000307
16,39778,0.48258,0.6951,0.60367,0.80902,0.86982,0.82909,0.88863,0.74589,0.80798,0.70779,0.77544,0.50576,0.4485,0.50562,0.51412,0.75534,0.0002575,0.0002575,0.0002575
17,42090.7,0.47275,0.68717,0.57597,0.80892,0.87839,0.83995,0.89845,0.76516,0.82754,0.73553,0.80565,0.52123,0.4161,0.50511,0.48855,0.74675,0.000208,0.000208,0.000208
18,44410.7,0.46465,0.68271,0.55948,0.80802,0.87825,0.83735,0.89802,0.80589,0.82492,0.7414,0.80593,0.5744,0.35033,0.44609,0.46535,0.73732,0.0001585,0.0001585,0.0001585
19,46752,0.45586,0.67431,0.53416,0.80807,0.88545,0.84205,0.90114,0.77807,0.83754,0.71937,0.79788,0.53309,0.38463,0.4913,0.46469,0.74526,0.000109,0.000109,0.000109
20,49139.9,0.44817,0.6682,0.5177,0.80618,0.89529,0.84634,0.90347,0.78253,0.81362,0.74537,0.80165,0.54121,0.37386,0.47735,0.45881,0.74151,5.95e-05,5.95e-05,5.95e-05
